,Actual,Predicted
17576,3.351145038167939,3.379839487373829
10072,3.698095238095238,436334031.89398926
13088,3.498967092092092,3.5303511917591095
7448,3.542962962962963,3.281414996832609
6992,3.7676767676767677,3.791366208344698
29817,3.3436363636363633,3.4895792193710804
11398,2.834710743801653,3.0249558724462986
28419,3.667454268292683,3.7946705538779497
30199,2.5632352941176473,3.040893442928791
5138,3.5852325581395355,3.6034495420753956
18156,3.6165384615384615,3.270432472229004
1259,3.2296,3.2520355340093374
22394,3.3049999999999997,3.440419726073742
10541,1.9808571428571429,2.387039467692375
29996,3.116279069767442,3.352093454450369
34246,3.356772730312284,3.1831919699907303
30364,3.4226666666666667,3.130543939769268
35100,3.227272727272727,3.820759389549494
7490,3.0783823529411767,3.008599277585745
12303,3.0275,3.882618959993124
19471,3.126415094339623,3.3117523975670338
29646,3.881935483870967,3.794474560767412
17337,3.64,-26032977.220578205
5556,3.2458750000000003,3.360028799623251
27646,3.12,-149722229.5808649
3919,3.0870370370370366,2.984485248103738
820,2.9512222222222224,904505152.365524
33842,3.479649122807018,117460748.4396001
11284,3.769230769230769,324336881.44545525
15003,3.2424137931034482,3.553440310060978
25119,2.5525714285714285,3.2796957790851593
34050,3.1572151898734173,3.919836774468422
13389,3.403939393939394,-940148.4686672948
4706,3.162857142857143,3.2547232285141945
26,3.327307692307692,2.8105820547789335
29482,3.2364150943396233,2.988628316670656
24198,3.250357142857143,3.291400734335184
23376,3.26375,3.6572193540632725
28006,3.2432432432432434,3.214814141392708
23210,3.8891666666666667,32553188.328009155
17456,2.7757910825171246,2.898887399584055
31617,3.0280000000000005,3.070972990244627
18194,3.5275000000000003,3.5734283179044724
24173,2.11125,2.8724537324160337
20721,2.3245333333333336,2.9161659590899944
33801,2.683812448812449,3.1287157256156206
9079,1.866,2.536868456751108
21731,3.079047619047619,3.0255993604660034
33138,3.4133333333333336,3.464875340461731
26406,3.5569620253164556,3.6268895342946053
37067,3.4717241379310346,3.6528185047209263
11229,3.632068965517241,3.5689284410327673
20158,3.8728571428571428,3.217345893383026
22796,3.7653658536585373,3.5987276323139668
